kmeans,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10,,fuzzycmeans,c=2,c=3,c=4,c=5,c=6,c=7,c=8,c=9,c=10
1,0.785481045,0.499480251,0.591239253,0.659575681,0.704097165,0.639528838,0.624784868,0.703059027,0.620720506,,1,0.77913211,0.501588347,0.591239253,0.545821684,0.627570863,0.684888434,0.704166538,0.720744605,0.716755469
2,0.784149995,0.805075695,0.556501662,0.62825048,0.665756999,0.678672895,0.63702972,0.673567926,0.643189487,,2,0.78326743,0.805075695,0.888584825,0.60224506,0.689295695,0.828527757,0.949113766,0.729137096,0.757542235
3,0.817964614,0.701102264,0.796954919,0.824301338,0.849401497,0.780315184,0.836129854,0.8735878,0.835815109,,3,0.799562876,0.695865453,0.727357325,0.778135646,0.867525133,0.884706926,0.837267545,0.94290088,0.929243659
4,0.791396302,0.894817221,0.696680767,0.753253845,0.824040817,0.823823044,0.843704666,0.828983316,0.824514662,,4,0.781369644,0.886866346,0.934448322,0.752701066,0.812201053,0.849336137,0.825564939,0.836110625,0.844247899
5,0.740465162,0.781119443,0.822753592,0.831834155,0.883449507,0.822381651,0.850297832,0.872593031,0.859066528,,5,0.742651096,0.794360845,0.821213255,0.694296587,0.789878897,0.942725057,0.969040188,0.985982013,0.966991524
6,0.678048106,0.762995033,0.80570384,0.712717984,0.601065332,0.63645025,0.710974356,0.682068096,0.778603392,,6,0.678048106,0.695651269,0.801567502,0.725920653,0.803156641,0.716345373,0.892394447,0.704108652,0.839200176
7,0.233052976,0.366361047,0.370582389,0.44667813,0.442922437,0.499771018,0.692385334,0.718192747,0.696868648,,7,0.233052976,0.429755981,0.39201392,0.394251465,0.37462892,0.34817426,0.431297219,0.314664751,0.366398035
8,0.459841916,0.689145928,0.793923866,0.871673069,0.834388743,0.798663523,0.766790651,0.743448675,0.763580347,,8,0.516133664,0.722646558,0.575420499,0.647388777,0.749697589,0.702447424,0.695874713,0.712063304,0.707373045
9,0.607454701,0.761975478,0.579208618,0.674380852,0.724028942,0.697338014,0.701724176,0.766730398,0.753021695,,9,0.612813842,0.748476612,0.580032392,0.713868597,0.686392156,0.725814383,0.829016504,0.805304304,0.835770001
10,0.224136968,0.388644416,0.604984173,0.761472861,0.682073197,0.688430425,0.739172568,0.731133806,0.727169303,,10,0.224136968,0.629871804,0.604911477,0.750774099,0.717181692,0.763802603,0.688802909,0.752299902,0.77695718
11,0.357744933,0.548124001,0.642109906,0.678489926,0.664730932,0.736320729,0.713299772,0.785650869,0.824471176,,11,0.357744933,0.489466693,0.593713777,0.652880853,0.553101858,0.742207258,0.76829261,0.787370038,0.801013442
12,0.562333571,0.696094364,0.71765756,0.792308972,0.885032314,0.809176742,0.774946566,0.750146712,0.716230885,,12,0.562333571,0.714373913,0.745500846,0.824307865,0.745551298,0.729613859,0.690602333,0.703299623,0.756649796
13,0.046447061,0.458581973,0.555765526,0.58096484,0.503017775,0.578395033,0.569742064,0.557055315,0.626682537,,13,0.046447061,0.458581973,0.464425287,0.45892405,0.350540893,0.403684411,0.372382046,0.341198511,0.384229313
14,0.622975225,0.639563714,0.561092949,0.625941493,0.703197762,0.673318801,0.612437673,0.663260237,0.690848272,,14,0.380793105,0.357773109,0.475892272,0.376688598,0.429912483,0.493474067,0.447327485,0.644614888,0.558573906
15,0.011942064,0.532535772,0.489615813,0.627532969,0.723329051,0.783875593,0.816004952,0.881651102,0.807161169,,15,0.011942064,0.517353555,0.348829042,0.557853117,0.531046831,0.552186496,0.442786679,0.577237658,0.53447084
16,0.681559916,0.536235537,0.490403814,0.652763613,0.706348935,0.81359393,0.767799248,0.731000114,0.731000114,,16,0.693803195,0.536016081,0.481275963,0.658405724,0.722238367,0.652030471,0.697234686,0.750156389,0.719635418
17,0.722413021,0.890132448,0.481757499,0.605683819,0.744557764,0.633075114,0.679824735,0.69576752,0.742006944,,17,0.690120094,0.805860953,0.481757499,0.603702949,0.69572867,0.744012423,0.723664337,0.480636909,0.800631093
18,0.69882568,0.790049755,0.8373171,0.872138937,0.848753343,0.702005039,0.586426341,0.641060943,0.682150834,,18,0.69882568,0.838513177,0.824488235,0.858678103,0.508302439,0.625820391,0.66438081,0.711819728,0.629353995
19,0.65934058,0.751236125,0.819151429,0.904507974,0.88352184,0.878408097,0.915954826,0.94190893,0.860357152,,19,0.65934058,0.751870279,0.855750391,0.589954782,0.921567522,0.577493319,0.609613204,0.822927575,0.832529513
20,0.504835575,0.298526327,0.473801128,0.558039601,0.698302683,0.75033207,0.769010137,0.787407709,0.853242207,,20,0.415410644,0.298526327,0.484601433,0.596089211,0.483748241,0.637467552,0.625442086,0.67452217,0.666807499
21,0.355031359,0.560906374,0.680817367,0.715965123,0.629126201,0.615485135,0.702923887,0.749293661,0.847252397,,21,0.355031359,0.461128225,0.359225531,0.446622574,0.48973003,0.488927063,0.572725975,0.673660938,0.712362842
22,0.298043408,0.530488431,0.571370428,0.528690977,0.660507701,0.501274314,0.500184501,0.542358782,0.58649151,,22,0.298043358,0.5304852,0.35550545,0.322469479,0.331007213,0.307362397,0.269646524,0.383210759,0.322669075
23,0.642188146,0.672891257,0.672938552,0.643123895,0.679866699,0.71388451,0.811287055,0.919814268,0.868452779,,23,0.667332087,0.664498293,0.653130142,0.644638336,0.680699607,0.713077941,0.754914447,0.823653597,0.811496955
24,0.689833727,0.679916316,0.652900994,0.617462494,0.692439271,0.743498576,0.793495729,0.83648792,0.823863068,,24,0.690195004,0.660260318,0.636446805,0.764670754,0.874753489,0.662874379,0.876268299,0.959379833,1.000811972
25,0.028469537,0.497727834,0.541047376,0.610327091,0.665602568,0.776435391,0.686757473,0.652001167,0.751082988,,25,0.997239244,0.498350636,0.545096004,0.610673615,0.724994797,0.653057828,0.727154651,0.685234024,0.743162732
26,0.698344687,0.591246096,0.658111409,0.722553175,0.742642677,0.833303944,0.66740907,0.616228377,0.740077153,,26,0.239175018,0.597128183,0.655543199,0.729278153,0.811374161,1.008214119,0.641909432,0.665968431,0.711984792
27,0.598483123,0.601173394,0.478922834,0.760625254,0.625630548,0.661161919,0.705213803,0.806502156,0.930068482,,27,0.285686474,0.591598351,0.677779501,0.713928124,0.826476587,1.028904112,1.071434775,0.709570302,0.753260793
